test_sample_index,y_true,y_pred,prediction_error,depth,width,bolt_area,anchor_density,roof_strength,coal_strength,initial_risk_level,final_risk_level,support_check_result,error_check,triggered_rules,engineering_suggestion,top5_mean_displacement,top5_max_displacement,top5_min_displacement,top5_mean_similarity,similar_case_risk_hint,final_check_conclusion
0,144.0,136.84004585387166,7.159954146128342,421.0,4.4,1.1,2.73,72.97,11.49,较高风险,较高风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。,64.2,144.0,14.0,0.3346,相似案例响应处于常规范围,预测结果显示该样本顶板位移偏大，建议结合相似案例和支护参数进行复核。
1,5.0,20.52213182227299,15.52213182227299,375.0,4.7,0.8,2.0,32.04,14.0,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。,28.92,70.0,5.0,0.67417,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
2,35.0,51.27815876619084,16.278158766190842,478.0,5.0,0.72,2.22,60.0,20.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。,65.124,97.62,35.0,0.506383,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
3,9.0,4.887399682328976,4.112600317671024,394.0,3.9,0.72,2.22,45.88,14.0,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。,27.46,61.3,5.0,0.593052,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
4,126.0,103.00030804468744,22.999691955312557,250.0,4.6,1.1,0.67,54.74,4.84,较高风险,较高风险,预测位移较大且锚索密度偏低，建议加强锚索支护,预测误差处于可接受范围,anchor_density<=0.8: 锚索密度偏低; displacement>=100 & anchor<=1.0: 建议加强锚索支护; coal_strength<=5: 煤层强度偏低，关注变形风险,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。,71.744,126.0,16.8,0.479179,相似案例响应处于常规范围,预测结果显示该样本顶板位移偏大，建议结合相似案例和支护参数进行复核。
5,4.2,7.194133799839513,2.9941337998395126,321.0,4.7,0.64,2.5,38.06,9.0,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。,17.1,61.3,4.2,0.667483,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
6,119.0,93.43476676619854,25.565233233801465,700.0,5.0,0.64,1.25,63.86,15.9,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,depth>=700: 埋深较大，关注深部高地应力影响,预测顶板位移处于中等水平，建议保持现有支护并加强监测。,71.0,112.0,50.0,0.429984,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
7,28.47,56.70838974796296,28.238389747962962,300.0,5.5,0.72,1.25,67.08,9.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。,60.6,95.0,32.0,0.40727,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
8,84.0,53.34751279591178,30.652487204088217,401.0,6.0,0.64,1.88,34.25,7.2,中风险,中风险,支护参数满足当前设计要求,预测误差较大，建议人工复核,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。,20.46,70.0,4.2,0.413488,相似案例响应处于常规范围,该样本预测误差较大，建议纳入后续误差分析。
9,20.0,28.60338089763701,8.60338089763701,460.0,7.0,1.21,0.91,55.46,14.34,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,width>=6.5: 巷道宽度较大，围岩暴露范围增加,预测顶板位移较小，现有支护参数基本满足控制要求。,68.672,92.0,46.0,0.29503,相似案例响应处于常规范围,预测结果与相似案例和规则校核基本一致，可作为工程参考。
